Country Name,Country Code,Access to electricity (% of population),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, secondary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 Emissions (million tonnes),CO2 Emissions per Capita,population,GDP (CO2 dataset)
Small states,SST,94.79996104001417,14222.96604801196,80.80000000000001,72.90071975570416,0.9972990939856452,88.6602113500235,7.666090512707839,11.355,2.8655,7348056.0,99281829888.0
Solomon Islands,SLB,81.3,2076.107687725632,42.5,70.528,2.39583243369756,88.6602113500235,1.455,0.296,0.379,781075.0,99281829888.0
Somalia,SOM,50.3,597.4588546030427,80.80000000000001,58.816,3.07939219638342,3.29380989074707,18.941,0.56,0.031,17801893.0,99281829888.0
South Africa,ZAF,87.7,6022.54254192335,75.7,66.139,1.32810094082844,88.6602113500235,32.098,405.312,6.498,62378419.0,723559000000.0
South Asia,SAS,99.40878896974051,2532.375600516906,80.80000000000001,72.3247648783903,0.8802725469446293,71.594108581543,4.305251765962449,11.355,2.8655,7348056.0,99281829888.0
South Asia (IDA & IBRD),TSA,99.40878896974051,2532.375600516906,80.80000000000001,72.3247648783903,0.8802725469446293,71.594108581543,4.305251765962449,11.355,2.8655,7348056.0,99281829888.0
South Sudan,SSD,5.4,7826.353764832983,80.80000000000001,57.617,4.10816463205266,88.6602113500235,12.477,1.588,0.144,11021175.0,99281829888.0
Spain,ESP,100.0,33509.01279821385,95.39999999999999,83.8829268292683,1.16881504089364,88.6602113500235,12.179,234.657,4.906,47828386.0,1625140000000.0
Sri Lanka,LKA,100.0,3798.8901657301144,51.2,77.483,-0.651320770103285,88.6602113500235,5.997,19.903,0.872,22834964.0,254749000000.0
St. Kitts and Nevis,KNA,100.0,22600.450229946786,76.4,72.145,0.104849849656036,88.6602113500235,5.1835,0.224,4.789,46731.0,99281829888.0
St. Lucia,LCA,100.0,13554.768478493274,70.1,72.697,0.281512532799571,90.4108428955078,11.092,0.49,2.742,178794.0,1749086208.0
St. Martin (French part),MAF,100.0,7826.353764832983,80.80000000000001,80.224,-4.80716831631216,88.6602113500235,5.1835,11.355,2.8655,7348056.0,99281829888.0
St. Vincent and the Grenadines,VCT,100.0,10582.365672522892,76.0,71.23,-0.711025816110263,123.98773789756,18.574,0.227,2.228,102062.0,99281829888.0
Sub-Saharan Africa,SSF,53.25633090106626,1580.7879275730907,80.80000000000001,62.602913488566394,2.466369463644225,44.7870407104492,5.8877536169440114,11.355,2.8655,7348056.0,99281829888.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,53.25633090106628,1580.7879275730913,80.80000000000001,62.60291348856638,2.466369463644225,44.7870407104492,5.887753616944011,11.355,2.8655,7348056.0,99281829888.0
Sub-Saharan Africa (excluding high income),SSA,53.00748172732163,1614.1390250169632,80.80000000000001,62.06547988132832,2.4510389020306103,44.785228729248,6.1814480975101045,11.355,2.8655,7348056.0,99281829888.0
Sudan,SDN,66.0,797.283447265625,80.80000000000001,66.331,1.32652175747925,88.6602113500235,5.1835,20.24,0.41,49383343.0,99281829888.0
Suriname,SUR,99.6,5494.074094255166,78.4,73.631,0.914027369002208,76.2433776855469,7.631,2.64,4.236,623173.0,99281829888.0
Sweden,SWE,100.0,55567.089008049596,95.7,83.30975609756099,0.472717863265105,88.6602113500235,7.611,37.474,3.573,10487333.0,494215000000.0
Switzerland,CHE,100.0,100631.80275512472,97.3,84.05609756097562,1.25678260643691,88.6602113500235,4.043,32.819,3.733,8792180.0,559385000000.0
Syrian Arab Republic,SYR,88.4,847.3727234185315,80.80000000000001,72.12,4.91861526815481,38.6241989135742,13.187,25.314,1.127,22462170.0,52353138688.0
Tajikistan,TJK,100.0,1178.4799006024875,56.8,71.79,2.01812009749216,87.4183887120697,11.546,8.966,0.881,10182229.0,50544009216.0
Tanzania,TZA,48.3,1224.48962402344,29.099999999999998,66.995,2.90250073555304,88.6602113500235,2.582,17.736,0.274,64711821.0,198220000000.0
Thailand,THA,100.0,7195.101309194487,89.5,76.412,-0.0458651887192549,109.854930019435,0.733,272.573,3.8,71735320.0,1124140000000.0
Timor-Leste,TLS,100.0,1502.519645141864,34.0,67.689,1.08884743970717,88.6602113500235,1.521,0.649,0.474,1369299.0,99281829888.0
Togo,TGO,59.2,985.6975126299735,37.0,62.739,2.33345506489111,65.2577590942383,1.948,2.682,0.295,9089742.0,14265659392.0
Tonga,TON,100.0,4863.763846321917,58.5,72.895,-0.424539964766316,98.5568917668825,2.262,0.195,1.857,105053.0,99281829888.0
Tunisia,TUN,100.0,3950.375341981596,72.39999999999999,76.508,0.666925034776371,88.6602113500235,15.106,31.948,2.636,12119336.0,129458000000.0
Turkiye,TUR,100.0,13105.658500477753,86.0,77.156,0.406389351118662,88.6602113500235,9.388,437.305,5.023,87058470.0,2386000000000.0
Turkmenistan,TKM,100.0,8232.65225980002,80.80000000000001,70.073,1.83970100027524,88.6602113500235,4.099,64.154,8.873,7230198.0,97502945280.0
Turks and Caicos Islands,TCA,100.0,35470.21516082947,80.80000000000001,78.008,0.762674129802692,109.377401998463,5.1835,0.355,7.745,45869.0,99281829888.0
Tuvalu,TUV,100.0,6344.775018868903,74.3,67.105,-1.77710654146662,85.1700668334961,5.1835,0.011,1.124,10012.0,99281829888.0
Uganda,UGA,51.5,1002.3091390885152,15.299999999999999,68.252,2.80083228962433,88.6602113500235,2.787,5.638,0.119,47312718.0,101995000000.0
Ukraine,UKR,100.0,5139.59814453125,82.39999999999999,73.422,-8.42300777431605,88.6602113500235,5.1835,141.126,3.438,41048767.0,309167000000.0
United Kingdom,GBR,100.0,49200.81015261457,96.3,81.2380975609756,1.30497972307431,88.6602113500235,3.984,313.835,4.603,68179315.0,2615230000000.0
United States,USA,100.0,82304.62042728657,93.10000000000001,78.38536585365854,0.83149318773707,88.6602113500235,3.638,5078.871,14.871,341534041.0,19493200000000.0
Upper middle income,UMC,99.42868247410784,10631.316744156376,78.5,76.19530510285628,0.21413279553079084,95.6023635864258,5.662411862177017,11.355,2.8655,7348056.0,99281829888.0
Uruguay,URY,100.0,23019.42215600459,89.9,78.138,-0.0835522251458198,88.6602113500235,8.355,7.82,2.306,3390913.0,69066227712.0
